,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,API,,Schema,,Root,employee,,,,,,
,,,,,,,,,firstName,lastName,dateOfBirth,email,,
,,,,,,,,,,,,,,
,,,,,Metadata,,Type,object,string,string,date,string,,
,,,,,,,MinLength,_,2,2,_,_,,
,,,,,,,MaxLength,_,50,50,_,_,,
,,,,,,,Format,_,_,_,yyyymmdd,_,,
,,,,,,,Regex,_,_,_,_,^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2}$,,
,,,,,,,,,,,,,,
,,,,,Data,,1,_,Jeff,Smith,20010504,jeff@example.com,,
,,,,,,,2,_,Sal,Arvy,19840148,sal@me.com,,
,,,,,,,3,_,Bill,Jones,19541217,billjones@mail.com,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
