,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,API,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,Schema,,,Metadata,,,,,,Data,,,,
,,,,,,,,,,,,,,,,
,,,Root,,,Type,MinLength,MaxLength,Format,Regex,,1,2,3,,
,,,employee,,,object,_,_,_,_,,_,_,_,,
,,,,firstName,,string,2,50,_,_,,Jeff,Sal,Bill,,
,,,,lastName,,string,2,50,_,_,,Smith,Arvy,Jones,,
,,,,dateOfBirth,,date,_,_,yyyymmdd,_,,20010504,19840148,19541217,,
,,,,email,,string,_,_,_,^[a-zA-Z0-9._%+-]+@[a-zA-Z0-9.-]+\.[a-zA-Z]{2}$,,jeff@example.com,sal@me.com,billjones@mail.com,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
